Time,Amount,Hour
1,7.5,1
2,6.2,2
3,8.7,3
4,5.78,4
5,2.7,5
6,0.07,6
7,1,7
8,0.02,8
9,0.5,9
10,1.85,10
11,7.4,11
12,9,12
13,7.76,13
14,8.58,14
15,4.16,15
16,5.2,16
17,3.84,17
18,3.23,18
19,5.03,19
20,3.72,20
21,4.66,21
22,4.92,22
23,6.87,23
24,8,24
25,0.71,1
26,0.51,2
27,2.44,3
28,0.42,4
29,1.6,5
30,0.5,6
31,0,7
32,0,8
33,0.2,9
34,0.95,10
35,0.7,11
36,2.4,12
37,1.66,13
38,1.99,14
39,3.8,15
40,3.26,16
41,1.05,17
42,3.41,18
43,2.41,19
44,2.06,20
45,1.22,21
46,2.29,22
47,1.19,23
48,0.68,24
49,3.2,1
50,1.82,2
51,0.9,3
52,2.2,4
53,0.49,5
54,0.5,6
55,0,7
56,0,8
57,2.1,9
58,1.05,10
59,0.8,11
60,2.97,12
61,1.88,13
62,2.1,14
63,1.16,15
64,0.56,16
65,0.2,17
66,0.72,18
67,0.57,19
68,0.63,20
69,1.11,21
70,0.79,22
71,1.86,23
72,2,24
73,0,1
74,0,2
75,0.1,3
76,0.9,4
77,0.2,5
78,0,6
79,0.1,7
80,0.01,8
81,0.2,9
82,0.57,10
83,0.28,11
84,1.38,12
85,0.79,13
86,0.2,14
87,0.1,15
88,0.01,16
89,0,17
90,0,18
91,0.23,19
92,8.3,20
93,0.16,21
94,0.41,22
95,0.17,23
96,0.06,24
